Time,Truth,Prediction
2017-1,1296270.0,1286989.5
2017-2,1284519.0,1282481.25
2017-3,1223022.0,1208543.125
2017-4,1387452.0,1386621.375
2017-5,1323404.0,1305566.375
2017-6,1316780.0,1277185.5
2017-7,1356339.0,1363075.0
2017-8,1338279.0,1347504.25
2017-9,1413351.0,1447193.5
2017-10,1273375.0,1256743.875
2017-11,1420236.0,1426345.875
2017-12,1344576.0,1359049.375
2018-1,1339109.0,1334193.75
2018-2,1391705.0,1388969.5
2018-3,1372351.0,1361394.0
2018-4,1401630.0,1430906.0
2018-5,1413204.0,1403886.25
2018-6,1466938.0,1457051.125
2018-7,1265949.0,1280300.5
2018-8,1417404.0,1434877.0
2018-9,1479298.0,1505143.375
2018-10,1423354.0,1436031.125
2018-11,1482129.0,1512070.75
2018-12,1463105.0,1489713.25
2019-1,1511875.0,1495151.625
2019-2,1478751.0,1497164.875
2019-3,1414636.0,1430447.75
2019-4,1500595.0,1504612.75
2019-5,1517075.0,1524959.5
2019-6,1661422.0,1604347.5
2019-7,1353485.0,1371109.875
2019-8,1561909.0,1566562.375
2019-9,1520599.0,1512582.625
2019-10,1523977.36363636,1520923.0
2019-11,1677296.0,1626008.75
2019-12,1566108.0,1547614.125
