T,B,SU1,SU2,RT1,RT2,RT3,RT4,I1,I2,N1,N2,N3,J
2019,Januari,17551,16991,17830,25717,912817,304858,52616,47721,72488,36895,6391,1511875
2019,Februari,16783,19566,18222,26429,892503,287491,53843,50349,69682,37040,6843,1478751
2019,Maret,17052,16737,17399,25065,849991,281779,53133,44942,67114,35471,5953,1414636
2019,April,16949,18621,19130,25600,900071,302195,55892,46977,72309,36767,6084,1500595
2019,Mei,19600,18597,18755,25416,905920,310896,54337,45660,73248,38926,5720,1517075
2019,Juni,21841,20517,21566,27466,1022240,336887,57142,42077,70413,35051,6222,1661422
2019,Juli,15498,15680,17184,24719,813366,268580,51794,40690,65408,34629,5937,1353485
2019,Agustus,19379,18081,19574,26897,938492,308374,61619,51945,73162,37503,6883,1561909
2019,September,18289,16751,19025,25627,921707,299175,56435,51752,70848,35059,5931,1520599
2019,Oktober,18225.4545454545,18288.3636363636,18889.9090909091,25865.8181818182,918899.090909091,304617.090909091,56466.7272727273,48478.8181818182,71659.4545454545,36313.1818181818,6273.45454545455,1523977.36363636
2019,November,19276,21044,20437,26379,1010363,335994,64193,56427,79014,37088,7081,1677296
2019,Desember,18262,18587,18667,25209,940420,314559,60130,54727,74568,35016,5963,1566108
